include_dir,dataset_filter,model_config,dataset_size,lr_wd,minimal_pair_category,n_pairs,ablated_mean,ablated_std,control_mean,control_std,difference_ablated_minus_control,cohens_d,test_used,p_value
par,embedded_questions,gpt-705M,10M,lr3e04_wd0e+00,embedded,15,0.7874000000000001,0.042016459359908664,0.7844666666666668,0.07062474947279627,0.002933333333333314,0.03724977166589712,paired_ttest,0.8873452260800931
par,embedded_questions,gpt-705M,10M,lr3e04_wd0e+00,matrix,15,0.8979409479409479,0.031037666070195532,0.8787684537684537,0.04347570243480421,0.019172494172494173,0.3536056346663302,paired_ttest,0.1924084272588353
par,embedded_questions,gpt-705M,10M,lr3e04_wd0e+00,relative,15,0.6467333333333335,0.09121095381168919,0.6340133333333334,0.07929004501256913,0.012720000000000013,0.10452128476441883,paired_ttest,0.6917351672488488
par,embedded_questions,llama-360M,10M,lr3e04_wd0e+00,embedded,15,0.6688399999999999,0.07068991441499983,0.7170133333333334,0.07189764417625406,-0.04817333333333334,-0.5571620592191925,paired_ttest,0.04879523896760693
par,embedded_questions,llama-360M,10M,lr3e04_wd0e+00,matrix,15,0.8718919968919968,0.04538908118053773,0.8777389277389278,0.03620679061731116,-0.005846930846930828,-0.0948229522632758,paired_ttest,0.7189261477929583
par,embedded_questions,llama-360M,10M,lr3e04_wd0e+00,relative,15,0.7021999999999999,0.12108705251063913,0.6094799999999999,0.1148709288101837,0.09272,0.4915021698893392,paired_ttest,0.07772760970754448
par,matrix_questions,gpt-705M,10M,lr3e04_wd0e+00,embedded,15,0.7629866666666666,0.08236911580255818,0.7977200000000001,0.05095156243223277,-0.034733333333333324,-0.3643707303070249,paired_ttest,0.18002054688022665
par,matrix_questions,gpt-705M,10M,lr3e04_wd0e+00,matrix,15,0.8042540792540791,0.0545971633805905,0.8721056721056721,0.04035303086999873,-0.06785159285159284,-1.1132104417272606,paired_ttest,0.0007174839586056166
par,matrix_questions,gpt-705M,10M,lr3e04_wd0e+00,relative,15,0.5806,0.10386920346556734,0.6903333333333332,0.07044952262503443,-0.10973333333333332,-0.9564438209872788,paired_ttest,0.0023572102284112988
par,matrix_questions,llama-360M,10M,lr3e04_wd0e+00,embedded,15,0.7766,0.05443969140250521,0.72896,0.055126566061330935,0.04764000000000001,0.695384078556873,paired_ttest,0.01748756407944138
par,matrix_questions,llama-360M,10M,lr3e04_wd0e+00,matrix,15,0.8165112665112666,0.06360705799242905,0.8918414918414919,0.028745742620434025,-0.07533022533022532,-1.087942836802882,paired_ttest,0.0008673388832914726
par,matrix_questions,llama-360M,10M,lr3e04_wd0e+00,relative,15,0.6563599999999999,0.10404757702952189,0.7473066666666668,0.07476557139931901,-0.09094666666666666,-0.7198582454138217,paired_ttest,0.014519161509962488
par,relative_clauses,gpt-705M,10M,lr3e04_wd0e+00,embedded,15,0.82668,0.036907049268592104,0.8282533333333332,0.046748229403699895,-0.0015733333333333302,-0.026347780693298222,paired_ttest,0.9201685080377034
par,relative_clauses,gpt-705M,10M,lr3e04_wd0e+00,matrix,15,0.8900349650349652,0.023275865749340284,0.8911810411810411,0.029909817444481592,-0.0011460761460761212,-0.031053826688863116,paired_ttest,0.9059774964400724
par,relative_clauses,gpt-705M,10M,lr3e04_wd0e+00,relative,15,0.5241600000000001,0.055367819431249306,0.6102266666666668,0.09694071433220458,-0.08606666666666667,-0.9525536895357553,paired_ttest,0.002428590480904386
par,relative_clauses,llama-360M,10M,lr3e04_wd0e+00,embedded,15,0.75364,0.04145470505779256,0.7452133333333334,0.062181231282514196,0.00842666666666667,0.09056033376370502,paired_ttest,0.7310060152348568
par,relative_clauses,llama-360M,10M,lr3e04_wd0e+00,matrix,15,0.8783605283605284,0.027853811642890473,0.8864219114219115,0.02892345602783806,-0.008061383061383072,-0.18520050831412654,paired_ttest,0.4849986896621201
par,relative_clauses,llama-360M,10M,lr3e04_wd0e+00,relative,15,0.5013866666666666,0.08755143685421785,0.6105733333333333,0.14046131885767732,-0.1091866666666667,-0.6674869938042028,paired_ttest,0.02159147168697017
